produto,marca,preço,quantidade_estoque,número_vendas,setor,modelo,valor_vendas_semana,data_venda,categoria,localizacao,desconto,valor_total_venda,fornecedor
Café em Grãos,GigaStore,577.75,28,49,Alimentos,GS-1,28309.75,2024-07-30,Alimentos,Fortaleza,0.04,27177.36,Acessórios Zeta
Margarina,FutureTech,1540.12,18,40,Alimentos,FT-2,61604.799999999996,2024-07-28,Alimentos,Maceió,0.13,53596.18,Importadora Beta
Farinha de Trigo,EcoWare,762.12,15,14,Alimentos,EW-5,10669.68,2024-08-01,Alimentos,São Paulo,0.07,9922.8,Equipamentos Xi
Blocos de Montar LEGO,HomeEssentials,1075.48,72,34,Brinquedos,HE-9,36566.32,2024-07-29,Brinquedos,Manaus,0.07,34006.68,Suprimentos Delta
Projetor Epson Home Cinema,NextGenProducts,1619.71,80,31,Eletrônicos,NGP-6,50211.01,2024-08-02,Eletrônicos,Teresina,0.15,42679.36,Produtos Epsilon
Azeite de Oliva,ValueLine,1050.79,53,43,Alimentos,VL-6,45183.97,2024-07-30,Alimentos,Vitória,0.11,40213.73,Acessórios Zeta
Shampoo Head & Shoulders,TechNova,1917.75,72,15,Beleza,TN-10,28766.25,2024-07-29,Beleza,Recife,0.15,24451.31,Produtos Epsilon
Blush MAC,SuperGadgets,1007.96,97,19,Beleza,SG-4,19151.24,2024-07-28,Beleza,Porto Alegre,0.09,17427.63,Fornecedora Rho
Saco de Boxe,QualityGoods,595.47,100,15,Esportes,QG-3,8932.050000000001,2024-07-29,Esportes,São Luís,0.11,7949.52,Logística Iota
Escova de Dentes Elétrica,PrimeProducts,359.3,82,16,Saúde,PP-8,5748.8,2024-07-28,Saúde,São Luís,0.11,5116.43,Suprimentos Delta
Creme para Mãos Granado,MegaBrand,1138.24,97,20,Beleza,MB-4,22764.8,2024-08-02,Beleza,João Pessoa,0.11,20260.67,Serviços Omicron
Ventilador Mondial,EcoWare,1552.93,90,49,Eletrodomésticos,EW-3,76093.57,2024-08-01,Eletrodomésticos,Belém,0.09,69245.15,Mercadorias Eta
Vestido Longo Estampado,QualityGoods,674.28,38,38,Roupas,QG-6,25622.64,2024-07-29,Roupas,Maceió,0.07,23829.06,Equipamentos Xi
Poltrona Reclinável,FutureTech,1033.97,15,26,Móveis,FT-8,26883.22,2024-07-29,Móveis,Campo Grande,0.04,25807.89,Serviços Omicron
Bola de Vôlei Mizuno,ValueLine,932.34,53,16,Esportes,VL-1,14917.44,2024-07-30,Esportes,São Paulo,0.1,13425.7,Mercadorias Eta
Molho de Tomate,SuperGadgets,1805.83,74,28,Alimentos,SG-4,50563.24,2024-08-02,Alimentos,Manaus,0.07,47023.81,Fornecedora Gamma
Console Xbox Series X,SuperGadgets,1943.41,69,29,Eletrônicos,SG-10,56358.89,2024-08-03,Eletrônicos,Fortaleza,0.04,54104.53,Armazém Kappa
Bola de Vôlei Mizuno,OptimaGoods,649.07,38,44,Esportes,OG-6,28559.08,2024-08-02,Esportes,Teresina,0.09,25988.76,Suprimentos Delta
Cereal Matinal,OptimaGoods,650.1,60,39,Alimentos,OG-2,25353.9,2024-07-31,Alimentos,Manaus,0.1,22818.51,Suprimentos Delta
Bola de Vôlei Mizuno,MegaBrand,121.98,61,26,Esportes,MB-3,3171.48,2024-07-30,Esportes,João Pessoa,0.07,2949.48,Suprimentos Delta
Filtro de Ar K&N,InnovateTech,223.98,25,37,Automotivo,IT-10,8287.26,2024-07-29,Automotivo,Vitória,0.03,8038.64,Logística Iota
Camisa Polo,PrimeProducts,1180.79,24,6,Roupas,PP-9,7084.74,2024-07-30,Roupas,São Paulo,0.14,6092.88,Suprimentos Delta
Enlatado de Milho,NextGenProducts,830.02,46,18,Alimentos,NGP-8,14940.36,2024-07-31,Alimentos,Palmas,0.12,13147.52,Inovações Mu
Cadeira de Escritório com Rodízios,InnovateTech,1716.49,77,11,Móveis,IT-7,18881.39,2024-07-28,Móveis,Salvador,0.14,16238.0,Distribuidora Alpha
Azeite de Oliva,HomeEssentials,1349.06,67,48,Alimentos,HE-10,64754.88,2024-07-29,Alimentos,Fortaleza,0.01,64107.33,Mercadorias Eta
Colchonete para Yoga,SuperGadgets,1391.75,45,1,Esportes,SG-7,1391.75,2024-07-29,Esportes,Curitiba,0.08,1280.41,Armazém Upsilon
Forno de Embutir Brastemp,MegaBrand,522.69,64,28,Eletrodomésticos,MB-6,14635.320000000002,2024-08-03,Eletrodomésticos,João Pessoa,0.05,13903.55,Fornecedora Gamma
Cobertura para Carro,SuperGadgets,1161.58,34,45,Automotivo,SG-5,52271.1,2024-08-02,Automotivo,Porto Alegre,0.11,46521.28,Acessórios Zeta
Kit de Natação Speedo,Trendsetter,1480.59,77,32,Esportes,TS-10,47378.88,2024-07-29,Esportes,Vitória,0.04,45483.72,Fornecedora Rho
Óleo de Motor Mobil 1,SmartChoice,1306.18,72,27,Automotivo,SC-7,35266.86,2024-07-31,Automotivo,João Pessoa,0.15,29976.83,Armazém Kappa
Sofá Retrátil 3 Lugares,SmartChoice,534.46,33,18,Móveis,SC-7,9620.28,2024-07-29,Móveis,Porto Alegre,0.12,8465.85,Serviços Omicron
Robô Educativo,FutureTech,1505.26,17,26,Brinquedos,FT-6,39136.76,2024-07-28,Brinquedos,Aracaju,0.08,36005.82,Logística Iota
Esfoliante Facial Avon,MegaBrand,934.19,18,11,Beleza,MB-6,10276.09,2024-08-02,Beleza,Rio de Janeiro,0.04,9865.05,Distribuidora Alpha
Enlatado de Milho,HomeEssentials,561.01,89,22,Alimentos,HE-1,12342.22,2024-07-30,Alimentos,São Luís,0.07,11478.26,Distribuidora Alpha
Desinfetante Antisséptico,EliteElectronics,1646.29,64,3,Saúde,EE-1,4938.87,2024-07-31,Saúde,Brasília,0.11,4395.59,Armazém Upsilon
Filtro de Ar K&N,InnovateTech,1634.38,100,40,Automotivo,IT-6,65375.200000000004,2024-08-03,Automotivo,Rio de Janeiro,0.04,62760.19,Fornecedora Gamma
